apparent,明らかな、外見上
signify,意味する
identify,同一化
purify,浄化する
annoy,いらいらさせる
poverty,貧困
polite,礼儀正しい
obtain,入手する、獲得する
confine,制限する、閉じ込める
consist of,成る
consist in,存在する
consist with,両立する
comfort,慰め
exhaust,疲れ果てさせる、使い果たす
strain,酷使する、緊張
gradually,徐々に、次第に
vanish,消える、いなくなる
revive,復活する
bury,埋める
shrink,縮む
confront,(危険に)直面する
fate,運命
quarrel,口論する
yield,産出する、降伏する
inevitable,避けられない、必然の
undergo,検査を受ける、試験を経験する
emerge,現れる、明らかになる
trait,特色
acquaintance,知り合い
complaon,不平を言う
appreciate,感謝する、真価を認める
luxury,ぜいたく
passive,受動的な、受け身の
distinct,明瞭な、異なった
depress,落胆させる
engage,従事させる、従事する
proper,適切な、正しい、特有の、固有の
cultivate,耕す
govern,決定する、管理する、支配する
merchant,商人
instinct,本能、天性
preach,説教する
breach,規律違反、破る
care for,管理する
buerden,重荷、負荷
exceed,超える、勝る
profound,深遠な、心の底から
accord,一致する
initiative,主導権
bore,退屈させる
firm,会社、堅い、断固とした
be content to do,することに満足する
trifles,ささいなこと
preserve,保存する、維持する
frontier,国境
grasp,つかむ、把握する
comprehend,理解する
comprehensive,包括的な、広範囲にわたる
discipline,訓練する、しつける
purchase,買う、購入
collapse,崩壊する、失敗する
conduct,行為、管理、導く
prosperity,繁栄
sole,唯一の、単独の
dismiss,解雇する
overwhelm,圧倒する
suspicion,疑惑
associate,連想する、交際する
resort to,訴える
scheme,計画、悪巧み
endure,耐える、我慢する
derive,由来する、(ディライブ)
stem,由来する
be apt to do,しがちである
tense,緊張した
convention,協定、習慣
continent,大陸
launch,開始する、打ち上げる
obey,従う、守る
detect,発見する、探知する
revise,改訂する、変更する
myth,神話、作り話
exhibit,示す、展示する(いぐぜぃびっと)
be annoyed,困る(いのいど)
